case_id,Assessor_SR_Case,Assessor_SR,Assessor_SR_date,Int_name,Int_classification,Int_activities,specified_forest_resources,Access,Withdrawal,Management,Exclusion,Alienation,TenureGradient,Name.of.intended.beneficiary,Intended_beneficiary,OutcomeDirection_income,OutcomeDirection_assets,Int_type.tenure,Int_type.participation,Int_Participation.Notes,Study_type.qualitative,Statisitical.method.Notes,method,quality_method,How.was.the.sample.chosen.,Int_start_yr,Int_end_yr,Yr_outcome_Measured,aid,stated_mech,Author,Year,Title,Study_Country,International funded (0/1),Domestic funded (0/1),Mix funded (0/1),Funding,Impl-Fund_Notes
11,KN,Samantha Forrest and Katia Nakamura,43451,CB Managed fisheries,"Devolution of forest/ property rights from government to community, private and other actors",One or several of bundle of rights devolved to households and communities,None specified,1,1,1,1,0,Access+Withdrawal+Management+Exclusion,Households in Isla Costa Rica with managed custodia,Community,Positive,Positive,1,0,N/A,1,comparison of means test and one-way ANOVA,0,Qualitative,random,2000,Not Stated,2009-2010,32,0,Beitl CM,2011,Cockles in custody: The role of common property arrangements in the ecological sustainability of mangrove fisheries on the Ecuadorian coast,Costa Rica,0,1,0,Domestic,Does not say
12,KN,Samantha Forrest and Katia Nakamura,43451,CB Open fishery,"Devolution of forest/ property rights from government to community, private and other actors",One or several of bundle of rights devolved to households and communities,None specified,1,1,0,0,0,Access+Withdrawal,Households in Isla Costa Rica with open access custodia,Community,Positive,Positive,1,0,N/A,1,comparison of means test and one-way ANOVA,0,Qualitative,random,2000,Not Stated,2009-2010,32,0,Beitl CM,2011,Cockles in custody: The role of common property arrangements in the ecological sustainability of mangrove fisheries on the Ecuadorian coast,Costa Rica,0,1,0,Domestic,Does not say
22,KN,Samantha Forrest,43490,CBFM,"Devolution of forest/ property rights from government to community, private and other actors",One or several of bundle of rights devolved to households and communities,Land,1,1,0,0,0,Access+Withdrawal,Farmers in Ca Mau,Community,Mixed,Mixed,1,0,N/A,1,Cross tabulation and ANOVA analysis,0,Qualitative,Not Stated,1993,On going at time of study,,78,0,"Ha TTP, van Dijk H, Visser L",2014,"Impacts of changes in mangrove forest management practices on forest accessibility and livelihood: A case study in mangrove-shrimp farming system in Ca Mau Province, Mekong Delta, Vietnam",Viet Nam,0,1,0,Domestic,Does not say
85,KN,KN,43464,CBFM,"Devolution of forest/ property rights from government to community, private and other actors",One or several of bundle of rights devolved to households and communities,Land,1,1,0,0,0,Access+Withdrawal,Communities in Tanzania sampled,Community,NA,Mixed,1,0,N/A,0,Difference-indifferences,1,Quasi-experimental,"20 clusters within each region of Tanzania, and 18 households are surveyed within each cluster","1991 in practice, but 1998 and 2002 through forest policy and forest act",not stated,"2010 for children, 2011-12 adults",206,0,"Pailler S, Naidoo R, Burgess ND, Freeman OE, Fisher B",2015,"Impacts of Community-Based Natural Resource Management on Wealth, Food Security and Child Health in Tanzania",Tanzania,1,0,0,International,"Does not say specifically for this one. Because official designation is a lengthy, bureaucratic, resource-intensive process, generally financed and facilitated by international organizations, there are many CBNRM areas that are “in process”, not yet officially signed or registered "
30,KN,Samantha Forrest,43492,CBFM,"Devolution of forest/ property rights from government to community, private and other actors",One or several of bundle of rights devolved to households and communities,Minor forest produce,1,1,0,0,0,Access+Withdrawal,Households in Liwonde forest reserve,Community,Negative,NA,1,0,N/A,0,"Propensity Score Matching: nearest neighbor, radius, kernel, stratification matching,",1,Quasi-experimental,randomly selected,1996,Ongoing at time of study,2002,95,0,"Jumbe C, Angelsen A",2006,Do the Poor Benefit from Devolution Policies? Evidence from Malawi's Forest Co-Management Program,Malawi,1,0,0,International,World Bank and British Government
29,KN,Samantha Forrest,43492,CBFM,"Devolution of forest/ property rights from government to community, private and other actors",One or several of bundle of rights devolved to households and communities,Minor forest produce,1,1,0,0,0,Access+Withdrawal,Households in the Chimaliro forest reserve,Community,Positive,NA,1,0,N/A,0,"Propensity Score Matching: nearest neighbor, radius, kernel, stratification matching,",1,Quasi-experimental,randomly selected,1996,Ongoing at time of study,2002,95,0,"Jumbe C, Angelsen A",2006,Do the Poor Benefit from Devolution Policies? Evidence from Malawi's Forest Co-Management Program,Malawi,1,0,0,International,World Bank and British Government
24,KN,Samantha Forrest,43497,CBFM,"Devolution of forest/ property rights from government to community, private and other actors",One or several of bundle of rights devolved to households and communities,None specified,1,1,1,0,0,Access+Withdrawal+Management,Households participating in Community Based Forest Management in Barangay Buenavista,Community,Mixed,Mixed,1,0,N/A,1,"summary statistics including frequencies, means and percentages were calculated along with analysis of land changes using ArcGIS,",0,Qualitative,Not Stated,1998,Not Stated,2013-2014,84,0,"Hashiguchi H, Pulhin JM, Dizon JT, Camacho LD",2016,"Impacts of Community-Based Forest Management
Policies Implemented by a Local Forest Institution:
A Case Study from Bayombong, Nueva Vizcaya,
Philippines",Philippines,1,0,0,International,Several forest management projects have been conducted within the CBFM site. These have included the ITTO-DENR project implemented from 1995 to 2001 and funded by the International Tropical Timber Organization (ITTO) in collaboration with the Philippine Department of Environment and Natural Resources (DENR). 
65,KN,KN,43480,CBFM,"Devolution of forest/ property rights from government to community, private and other actors",One or several of bundle of rights devolved to households and communities,Land,1,1,1,0,0,Access+Withdrawal+Management,Fokontany of Iambara communities,Community,Mixed,NA,1,0,N/A,1,multiple correspondence analysis,0,Qualitative,"purposively, not random",2003,not stated,not stated,153,0,"Toillier A, Serpantie G, Herve D, Lardon S",2011,Livelihood Strategies and Land Use Changes in Response to Conservation: Pitfalls of Community-Based Forest Management in Madagascar,Madagascar,1,0,0,International,"In the study area, the main interventions for development and conser- vation were led by a project of the United State Agency for International Development (USAID). "
67,KN,KN,43480,CBFM,"Administration of tenure through recordkeeping, taxation, spatial planning and other means",Hectares distributed,Land,1,1,1,0,0,Access+Withdrawal+Management,Sapang Bato-Sitio target,Community,Negative,Positive,1,0,N/A,0,t test,0,Qualitative,random households or targeted groups,1998,not stated,2011-2014,160,Resilience,"Jarzebski MP, Tumilba V, Yamamoto H",2016,Application of a tri-capital community resilience framework for assessing the social_ecological system sustainability of community-based forest management in the Philippines,Phillippines,0,1,0,Domestic,Does not say
68,KN,KN,43480,CBFM,"Administration of tenure through recordkeeping, taxation, spatial planning and other means",Hectares distributed,Land,1,1,1,0,0,Access+Withdrawal+Management,Alangan,Community,Negative,Positive,1,0,N/A,0,t test,0,Qualitative,random households or targeted groups,1996,not stated,2011-2014,160,Resilience,"Jarzebski MP, Tumilba V, Yamamoto H",2016,Application of a tri-capital community resilience framework for assessing the social_ecological system sustainability of community-based forest management in the Philippines,Phillippines,0,1,0,Domestic,Does not say
66,KN,KN,43480,CBFM,"Administration of tenure through recordkeeping, taxation, spatial planning and other means",Hectares distributed,Land,1,1,1,0,0,Access+Withdrawal+Management,Ayala-Orchard village,Community,Neutral,Positive,1,0,N/A,0,t test,0,Qualitative,random households or targeted groups,1996,not stated,2011-2014,160,Resilience,"Jarzebski MP, Tumilba V, Yamamoto H",2016,Application of a tri-capital community resilience framework for assessing the social_ecological system sustainability of community-based forest management in the Philippines,Phillippines,0,1,0,Domestic,Does not say
57,KN,KN,43481,CBFM,"Devolution of forest/ property rights from government to community, private and other actors",One or several of bundle of rights devolved to households and communities,Land,1,1,1,0,0,Access+Withdrawal+Management,Community forestry users in Bhutan,Community,Positive,NA,1,1,Factors that influence household participation in community forest management,0,propensity score matching,1,Quasi-experimental,multi-stage stratified random sampling,1995,not stated,2012,138,0,"Rahut D, Ali A, Behera B",2015,Household participation and effects of community forest management on income and poverty levels: Empirical evidence from Bhutan,Bhutan,0,0,1,Mixed,"In Bhutan, community forestry began as an attempt by the government and aid agencies to provide an alternative way for forest departments to manage forests, that is, by including the local people.  "
23,KN,Samantha Forrest,43497,CBFM,"Devolution of forest/ property rights from government to community, private and other actors",One or several of bundle of rights devolved to households and communities,"Trees, Minor forest produce",1,1,1,1,1,Full Bundle,Households in the Ca Mau province,Community,Positive,Positive,1,0,N/A,1,descriptive statistics and content analytical methods,0,Qualitative,Randomly Selected,1993,Not stated,2007-2011,79,0,"Ha TTT, van Dijk H, Bush SR",2012,"Mangrove conservation or shrimp farmerês livelihood? The devolution of forest management and benefit sharing in the Mekong Delta, Vietnam",Viet Nam,0,1,0,Domestic,Government gave incentives
32,KN,Samantha Forrest,43498,CBM,Legal recognition of forest rights,One or several of bundle of rights devolved to households and communities,None specified,1,1,0,0,0,Access+Withdrawal,Households near Orissa's Social Forestry Project,Community,Mixed,NA,1,0,N/A,0,utility and cost function estimated using tobit type 2 model,0,Qualitative,Random sample chosen with in a region,Not Stated,Not stated,1993-1995,101,0,"Kohlin G, Amacher GS",2005,Welfare Implications of Community Forest Plantations in Developing Countries: The Orissa Social Forestry Project,India,1,0,0,International,Sida
90,KN,KN,43456,CBM,"Devolution of forest/ property rights from government to community, private and other actors",One or several of bundle of rights devolved to households and communities,Land,1,1,1,1,1,Full Bundle,"Households from Gombero, Mgambo, Mfyome",Community,Mixed,Mixed,1,0,N/A,1,Participatory rural appraisal tools validated by community members,0,Qualitative,"Three regions were purposively selected when PFM had been practiced, with random selection of communities engaged in CBRM or JFM (one of each, when possible), and stratified random sampling of households using four well-being categories",1996,not stated,2006-2007,216,0,"Vyamana, VG",2009,"Participatory forest management in the Eastern Arc
Mountains of Tanzania: who bene ts?",Tanzania,0,1,0,Domestic,Does not say
21,KN,Samantha Forrest,43490,CBM,Other,Strenthen security of tenure (perception or other indicators),None specified,1,1,1,0,0,Access+Withdrawal+Management,"Community Forest User Groups of the Lalitpur, Baglung and Nawalparasi districts",Community,NA,Mixed,1,0,N/A,1,comparative study considering number of CFUGs before and after the intervention,0,Qualitative,Not Stated,2008,2011,2010-2011,76,0,"Gurung A, Bista R, Karki R, Shrestha S, Uprety D, Oh SE",2012,Community-based forest management and its role in improving forest conditions in Nepal,Nepal,1,0,0,International,"The project has been funded by the Research into Use (RIU) Program of the UK Department for International Development (DFID), with partial funding support from IDRC. The project was formally implemented from 11 June 2008 to 30 June 2011. "
91,KN,KN,43456,CBM,"Devolution of forest/ property rights from government to community, private and other actors",One or several of bundle of rights devolved to households and communities,Land,1,1,1,0,0,Access+Withdrawal+Management,"Six CFUGs in the Dolakha, Kavre and Nuwakot districts of the mid-hill region of Nepal",Community,NA,Negative,1,0,N/A,0,Community welfare maximization model,0,Qualitative,"CFUG on each district were selected based on the basis of representattive forest condition, type of forage-gathering practice, age of CFUG, forest size and level of access to district forest office services. Household were radomly selected from HH income group lists in each CFUG.",1998,not stated,not stated,221,"Overall, livestock provide a hedge against starvation and extreme poverty, particularly for isolated mountain communities (Riethmuller, 2003).
Public forests have special importance for livestock farming and livelihoods
for mountain people in Nepal. Historically, land areas demanding
less labor for terracing and suitable for crop production were privatized.
Less productive and environmentally sensitive lands were managed as
public or communal property for production of multiple products and
services (firewood, fodder, pasture, timber, leaf litter, and other non-timber
products). As a result, almost all Nepali farmers have no private pastureland.
Instead, the farmers graze livestock in forests, or tree limbs are lopped
during seasons of animal feed deficits","Dhakal B, Bigsby H, Cullen R",2011,"Forests for Food Security and Livelihood
Sustainability: Policy Problems and Opportunities
for Small Farmers in Nepal",Nepal,0,1,0,Domestic,Does not say
80,KN,KN,43465,CBM,"Devolution of forest/ property rights from government to community, private and other actors",One or several of bundle of rights devolved to households and communities,Trees and NTFP,1,1,1,0,0,Access+Withdrawal+Management,families involved in the Livelihood and Landscape Strategy (LLS) in Acre,Community,Positive,NA,1,0,N/A,0,"Comparison before and after, no control",0,Qualitative,not stated. Famiies living in forested areas in Acre (Amazonian lowland rainforest ),2008,not stated,2009-2010,192,0,"Machado F, Gordon J",2012,"Extracting Value from the Forest: Lessons learned in the Acre landscape, Brazil",Brazil,1,0,0,International,The Livelihoods and Landscapes Strategy (LLS) is a global project of IUCN’s Forest Conservation Programme funded by the Directorate General for International Cooperation (DGIS) of the Netherlands Ministry of Foreign Affairs. 
45,KN,KN,43482,CBNRM,"Devolution of forest/ property rights from government to community, private and other actors",One or several of bundle of rights devolved to households and communities,Land,1,1,1,0,0,Access+Withdrawal+Management,"Tiprapara, Ratanpur, Deorgach, Goachnagar villages",Community,Mixed,NA,1,0,N/A,1,Descriptive statistics,0,Qualitative,"stratified random sampling, and full sample in one village",2005,2009,2006-2007,127,0,"Mukul SA, Manzoor Rashid AZM, Quazi SA,Uddin MB, Fox J",2012,"Local peoples' responses to co-management regime in protected areas: A case study from Satchari National Park, Bangladesh",Bangladesh,1,0,0,International,USAID
81,KN,KN,43465,CBNRM,"Devolution of forest/ property rights from government to community, private and other actors",One or several of bundle of rights devolved to households and communities,Land,1,1,1,1,0,Access+Withdrawal+Management+Exclusion,Loita community,Community,NA,Mixed,1,0,N/A,1,Descriptive statistics,0,Qualitative,semistructured interviews to 40 households randomly chosen from villages adjacent to Loita Forest.,1997,not stated,not stated,193,Equity,"Mbuvi MTE, Mustoki JK, Ongugo PO",2015,Equity Mechanisms in Traditional Forest Management Systems: A Case Study of Loita Forest in Kenya,Kenya,0,0,1,Mixed,"Does not say specifically. Mentions list of stakeholders from dometic and international. Nongovernmental organizations (NGOs) as stakeholders, aimed at ensuring that resources benefit the Loita Maasai; conserving the forest and developing the forests’ eco-tourism potential. Other stakeholders play- ing important roles were indicated as: Kenya Forest Service (KFS); Kenya Wildlife Services (KWS); Ministry of Environment and Natural Resources; Kenya Resource Center for Indigenous Knowledge (KENRIK); national government; National Outdoor Leadership School, Africa expeditions, and Safaris Unlimited; Ewaso Nyiro River South Development Agency; African Conservation Center (ACC), East Africa Wildlife Society (EAWLS) and Kenya Forest Working Group (KFWG); International Union for Conservation of Nature (IUCN) and World Wildlife Fund (WWF); European Union (EU) and IUCN. As it is indicated, there is a need to enhance a system that facilitates the inclusion of stakeholders. "
88,KN,KN,43458,CBNRM,Legal recognition of forest rights,One or several of bundle of rights devolved to households and communities,Minor forest produce,1,1,1,0,0,Access+Withdrawal+Management,households in community conservancies ,Community,NA,Mixed,1,0,N/A,0,matching,1,Quasi-experimental,stratified 2-stage cluster sampling,1996,not stated,2006-2007,211,0,"Riehl B, Zerriffi H, Naidoo R",2015,Effects of Community-Based Natural Resource Management on Household Welfare in Namibia,Namibia,0,1,0,Domestic,Does not say
5,KN,Samantha Forrest and Katia Nakamura,43446,CBNRM,"Devolution of forest/ property rights from government to community, private and other actors",One or several of bundle of rights devolved to households and communities,None specified,1,1,1,0,0,Access+Withdrawal+Management,households in established conservancies in the Kunene region,Community,NA,Mixed,1,1,"Analyzed the factors that determine participation, and the effect of participation in conservancies on welfare.",0,"Four methods were used: simple mean differences, multivariate dummy variable regression, instrumental variable estimate and propensity score matching",1,Quasi-experimental,Not Stated,1998 and earlier (informally),Not Stated,2002,26,0,"Bandyopadhyay S, Humavindu M, Shyamsundar P, Wang L",2009,"Benefits to local communities from community conservancies in Namibia: an
assessment",Namibia,0,0,1,Mixed,"The Namibian Government has invested over US$74 million in conservancies and related programmes (Namibian Association of CBNRM Support Organisations, 2005; Humavindu & Barnes, 2006). Some 90 per cent of this funding came from international donors and non-governmental organisations (NGOs). The US Agency for International Development alone contributed some US$40 million to Namibia’s conservation efforts (Stefanova, 2005). "
6,KN,Samantha Forrest and Katia Nakamura,43446,CBNRM,"Devolution of forest/ property rights from government to community, private and other actors",One or several of bundle of rights devolved to households and communities,None specified,1,1,1,0,0,Access+Withdrawal+Management,households in established conservancies in the Caprivi region,Community,NA,Mixed,1,1,"Analyzed the factors that determine participation, and the effect of participation in conservancies on welfare.",0,"Four methods were used: simple mean differences, multivariate dummy variable regression, instrumental variable estimate and propensity score matching",1,Quasi-experimental,Not Stated,1998 and earlier (informally),Not Stated,2002,26,0,"Bandyopadhyay S, Humavindu M, Shyamsundar P, Wang L",2009,"Benefits to local communities from community conservancies in Namibia: an
assessment",Namibia,0,0,1,Mixed,"The Namibian Government has invested over US$74 million in conservancies and related programmes (Namibian Association of CBNRM Support Organisations, 2005; Humavindu & Barnes, 2006). Some 90 per cent of this funding came from international donors and non-governmental organisations (NGOs). The US Agency for International Development alone contributed some US$40 million to Namibia’s conservation efforts (Stefanova, 2005). "
38,KN,Samantha Forrest,43503,Certification,"Devolution of forest/ property rights from government to community, private and other actors",One or several of bundle of rights devolved to households and communities,None specified,1,1,1,0,0,Access+Withdrawal+Management,Bhitteri CFUG,Community,Mixed,NA,1,1,certification of forests and NTFP given to engage locals in management,1,open coding (qualitative data analysis) and frequency distribution (quantitative),0,Qualitative,systematic sampling,1978,Not Stated,Not Stated,107,0,"Lewark S, George L, Karmann M",2011,Study of gender equality in community based forest certification programmes in Nepal,Nepal,0,1,0,Domestic,"maintaining the forests, certifi cation of forest and NTFP management was introduced as a pilot project in 2002 by the Asia Network for Sustainable Agriculture and Bioresources (ANSAB)."
37,KN,Samantha Forrest,43503,Certification,"Devolution of forest/ property rights from government to community, private and other actors",One or several of bundle of rights devolved to households and communities,None specified,1,1,1,0,0,Access+Withdrawal+Management,Sushpa CFUG,Community,Positive,NA,1,1,certification of forests and NTFP given to engage locals in management,1,open coding (qualitative data analysis) and frequency distribution (quantitative),0,Qualitative,systematic sampling,1978,Not Stated,Not Stated,107,0,"Lewark S, George L, Karmann M",2011,Study of gender equality in community based forest certification programmes in Nepal,Nepal,0,1,0,Domestic,"maintaining the forests, certifi cation of forest and NTFP management was introduced as a pilot project in 2002 by the Asia Network for Sustainable Agriculture and Bioresources (ANSAB)."
73,KN,KN,43480,CF,"Devolution of forest/ property rights from government to community, private and other actors",One or several of bundle of rights devolved to households and communities,Land,1,1,0,0,0,Access+Withdrawal,Mexico,Community,Negative,Positive,1,0,N/A,0,"probit, matching",1,Quasi-experimental,"countries were chosen because they have undergone forest decentralization reforms in the last decade, with baseline and pre-reform data available",1997,not stated,after 1997,167,0,"Coleman E, Fleischman F",2012,"Comparing Forest Decentralization and Local Institutional Change
in Bolivia, Kenya, Mexico, and Uganda",Mexico,0,1,0,Domestic,"The 2003 law, like the 1986 and 1992 laws, was the result of bureaucratic initiative, not popular demand. The chief effect of the 2003 law was to greatly expand institutional support and funding for community forestry initiatives ( "
72,KN,KN,43480,CF,"Devolution of forest/ property rights from government to community, private and other actors",One or several of bundle of rights devolved to households and communities,Land,1,1,0,0,0,Access+Withdrawal,Kenya,Community,Neutral,Negative,1,0,N/A,0,"probit, matching",1,Quasi-experimental,"countries were chosen because they have undergone forest decentralization reforms in the last decade, with baseline and pre-reform data available",1997,not stated,after 1997,167,0,"Coleman E, Fleischman F",2012,"Comparing Forest Decentralization and Local Institutional Change
in Bolivia, Kenya, Mexico, and Uganda",Kenya,0,1,0,Domestic,"policymaking, planning, and funding decisions largely remained centralized within govern- ment ministries. "
71,KN,KN,43480,CF,"Devolution of forest/ property rights from government to community, private and other actors",One or several of bundle of rights devolved to households and communities,Land,1,1,0,0,0,Access+Withdrawal,Bolivia,Community,Neutral,Neutral,1,0,N/A,0,"probit, matching",1,Quasi-experimental,"countries were chosen because they have undergone forest decentralization reforms in the last decade, with baseline and pre-reform data available",1997,not stated,after 1997,167,0,"Coleman E, Fleischman F",2012,"Comparing Forest Decentralization and Local Institutional Change
in Bolivia, Kenya, Mexico, and Uganda",Bolivia,0,1,0,Domestic,Does not say
74,KN,KN,43480,CF,"Devolution of forest/ property rights from government to community, private and other actors",One or several of bundle of rights devolved to households and communities,Land,1,1,0,0,0,Access+Withdrawal,Uganda,Community,Positive,Positive,1,0,N/A,0,"probit, matching",1,Quasi-experimental,"countries were chosen because they have undergone forest decentralization reforms in the last decade, with baseline and pre-reform data available",2003,not stated,after 2003,167,0,"Coleman E, Fleischman F",2012,"Comparing Forest Decentralization and Local Institutional Change
in Bolivia, Kenya, Mexico, and Uganda",Uganda,0,1,0,Domestic,…lack of funding slowed this process (2003 forestry law)
